State,Year,Quarter,Districts,Transaction_count,Transaction_amount
andhra-pradesh,2020,4,chittoor,29590411,615057.11
andhra-pradesh,2020,4,krishna,27981050,644615.05
andhra-pradesh,2020,4,guntur,26136538,606418.72
andhra-pradesh,2020,4,east godavari,25989490,587326.16
andhra-pradesh,2020,4,anantapur,20996384,497326.11
andhra-pradesh,2020,4,spsr nellore,20934374,491154.44
andhra-pradesh,2020,4,kurnool,18737323,447182.03
andhra-pradesh,2020,4,prakasam,16176867,418524.43
andhra-pradesh,2020,4,ysr,15676878,425729.75
andhra-pradesh,2021,1,visakhapatnam,48248923,953083.86
andhra-pradesh,2021,1,krishna,29717175,697154.07
andhra-pradesh,2021,1,chittoor,29342609,609474.92
andhra-pradesh,2021,1,guntur,27445045,642079.88
andhra-pradesh,2021,1,east godavari,26190701,600279.85
andhra-pradesh,2021,1,spsr nellore,22541428,522103.33
andhra-pradesh,2021,1,anantapur,20102957,483538.7
andhra-pradesh,2021,1,kurnool,17918524,449416.3
andhra-pradesh,2021,1,west godavari,16015685,421240.31
andhra-pradesh,2021,1,ysr,15374473,425709.19
andhra-pradesh,2021,2,visakhapatnam,54390299,1144390.13
andhra-pradesh,2021,2,krishna,36370960,900219.23
andhra-pradesh,2021,2,chittoor,34344902,736546.9
andhra-pradesh,2021,2,guntur,32968819,823569.14
andhra-pradesh,2021,2,east godavari,31717908,746043.26
andhra-pradesh,2021,2,spsr nellore,30290406,722830.72
andhra-pradesh,2021,2,anantapur,25123346,609874.88
andhra-pradesh,2021,2,kurnool,21972396,566592.87
andhra-pradesh,2021,2,west godavari,20950964,572331.16
andhra-pradesh,2021,2,prakasam,19944047,545353.28
andhra-pradesh,2021,3,visakhapatnam,69220981,1369456.52
andhra-pradesh,2021,3,krishna,44828275,1044178.98
andhra-pradesh,2021,3,chittoor,42628568,893719.32
andhra-pradesh,2021,3,guntur,41675093,965253.53
andhra-pradesh,2021,3,east godavari,39572714,893803.7
andhra-pradesh,2021,3,spsr nellore,34411958,778396.77
andhra-pradesh,2021,3,anantapur,30366444,702912.48
andhra-pradesh,2021,3,kurnool,26377809,625274.54
andhra-pradesh,2021,3,west godavari,26245039,666472.38
andhra-pradesh,2021,3,prakasam,24116580,633677.13
andhra-pradesh,2021,4,visakhapatnam,82711538,1595301.0
andhra-pradesh,2021,4,krishna,55489829,1250153.23
andhra-pradesh,2021,4,chittoor,51119640,1039857.35
andhra-pradesh,2021,4,guntur,50919286,1155539.94
andhra-pradesh,2021,4,east godavari,48992531,1067255.97
andhra-pradesh,2021,4,spsr nellore,41921081,922564.05
andhra-pradesh,2021,4,anantapur,36129136,812397.87
andhra-pradesh,2021,4,west godavari,33235175,812924.62
andhra-pradesh,2021,4,kurnool,31782248,739689.48
andhra-pradesh,2021,4,prakasam,27858275,713230.6
andhra-pradesh,2022,1,visakhapatnam,88233362,1701203.51
andhra-pradesh,2022,1,krishna,61826199,1396900.82
andhra-pradesh,2022,1,chittoor,58561024,1179005.96
andhra-pradesh,2022,1,guntur,57226996,1296737.28
andhra-pradesh,2022,1,east godavari,54738830,1210671.04
andhra-pradesh,2022,1,spsr nellore,47645702,1048955.72
andhra-pradesh,2022,1,anantapur,40613148,901970.23
andhra-pradesh,2022,1,west godavari,37271259,923979.4
andhra-pradesh,2022,1,kurnool,35093633,815684.21
andhra-pradesh,2022,1,prakasam,31340975,794943.73
andhra-pradesh,2022,2,visakhapatnam,101387402,1932428.42
andhra-pradesh,2022,2,krishna,73525814,1639977.29
andhra-pradesh,2022,2,chittoor,67507661,1364354.45
andhra-pradesh,2022,2,guntur,66315749,1470981.42
andhra-pradesh,2022,2,east godavari,62072845,1355314.53
andhra-pradesh,2022,2,spsr nellore,54838708,1219410.82
andhra-pradesh,2022,2,anantapur,46099366,1021387.58
andhra-pradesh,2022,2,west godavari,44409239,1079732.45
andhra-pradesh,2022,2,kurnool,40165692,924093.51
andhra-pradesh,2022,2,prakasam,36163507,904350.83
andhra-pradesh,2022,3,visakhapatnam,97434546,1811244.2
andhra-pradesh,2022,3,krishna,71051144,1537705.59
andhra-pradesh,2022,3,chittoor,65751781,1330535.82
andhra-pradesh,2022,3,guntur,65612317,1415885.23
andhra-pradesh,2022,3,east godavari,61467134,1296777.22
andhra-pradesh,2022,3,anantapur,45165363,977356.5
andhra-pradesh,2022,3,west godavari,43635951,1017068.55
andhra-pradesh,2022,3,spsr nellore,42116582,950993.26
andhra-pradesh,2022,3,kurnool,39557913,884153.35
andhra-pradesh,2022,3,prakasam,35376080,874752.3
andhra-pradesh,2022,4,visakhapatnam,103790055,1853061.5
andhra-pradesh,2022,4,krishna,76526667,1578260.11
andhra-pradesh,2022,4,guntur,70723763,1469387.35
andhra-pradesh,2022,4,chittoor,70322534,1368408.6
andhra-pradesh,2022,4,east godavari,68016055,1365311.1
andhra-pradesh,2022,4,anantapur,48299601,1015338.79
andhra-pradesh,2022,4,west godavari,47919930,1053357.25
andhra-pradesh,2022,4,kurnool,43524766,946674.41
andhra-pradesh,2022,4,spsr nellore,42582064,920859.16
andhra-pradesh,2022,4,prakasam,37211077,881050.32
andhra-pradesh,2023,1,visakhapatnam,164358781,2772110.9
andhra-pradesh,2023,1,krishna,122104381,2380588.91
andhra-pradesh,2023,1,chittoor,120192355,2180370.27
andhra-pradesh,2023,1,east godavari,115196449,2234547.25
andhra-pradesh,2023,1,guntur,114246185,2262442.26
andhra-pradesh,2023,1,anantapur,82127373,1622877.97
andhra-pradesh,2023,1,west godavari,79094558,1659411.45
andhra-pradesh,2023,1,kurnool,72405172,1491003.62
andhra-pradesh,2023,1,spsr nellore,71318689,1439671.65
andhra-pradesh,2023,1,prakasam,63671149,1416728.4
andhra-pradesh,2023,2,visakhapatnam,184918179,3038745.97
andhra-pradesh,2023,2,krishna,141748488,2670014.04
andhra-pradesh,2023,2,chittoor,136283483,2455505.26
andhra-pradesh,2023,2,guntur,132035450,2541407.65
andhra-pradesh,2023,2,east godavari,131243375,2451347.17
andhra-pradesh,2023,2,west godavari,92533269,1876995.26
andhra-pradesh,2023,2,anantapur,91695174,1800503.69
andhra-pradesh,2023,2,spsr nellore,82056071,1651813.91
andhra-pradesh,2023,2,kurnool,81475907,1669919.9
andhra-pradesh,2023,2,prakasam,73598725,1584286.9
andhra-pradesh,2023,3,visakhapatnam,209884966,3289272.21
andhra-pradesh,2023,3,krishna,159421907,2795402.24
andhra-pradesh,2023,3,chittoor,152863845,2654047.57
andhra-pradesh,2023,3,guntur,150246761,2706518.18
andhra-pradesh,2023,3,east godavari,148701666,2604142.86
andhra-pradesh,2023,3,anantapur,104539628,1924774.41
andhra-pradesh,2023,3,west godavari,102962058,1918918.23
andhra-pradesh,2023,3,spsr nellore,93875073,1765937.51
andhra-pradesh,2023,3,kurnool,92890445,1729790.54
andhra-pradesh,2023,3,prakasam,84447202,1712072.99
andhra-pradesh,2023,4,visakhapatnam,223584765,3445128.75
andhra-pradesh,2023,4,krishna,173309415,2983390.39
andhra-pradesh,2023,4,chittoor,163521593,2741324.58
andhra-pradesh,2023,4,east godavari,162793144,2823292.56
andhra-pradesh,2023,4,guntur,160724947,2818068.4
andhra-pradesh,2023,4,west godavari,114825704,2092378.93
andhra-pradesh,2023,4,anantapur,113698752,2033671.78
andhra-pradesh,2023,4,kurnool,103816175,1905975.28
andhra-pradesh,2023,4,spsr nellore,97721962,1793060.28
andhra-pradesh,2023,4,prakasam,89721677,1749297.37
andhra-pradesh,2024,1,visakhapatnam,238418938,3633415.74
andhra-pradesh,2024,1,krishna,186352072,3169934.93
andhra-pradesh,2024,1,chittoor,179903083,2896205.67
andhra-pradesh,2024,1,east godavari,179489444,3063243.09
andhra-pradesh,2024,1,guntur,173636233,2973712.77
andhra-pradesh,2024,1,west godavari,127602250,2287331.05
andhra-pradesh,2024,1,anantapur,125240418,2126816.89
andhra-pradesh,2024,1,kurnool,115036343,2048059.09
andhra-pradesh,2024,1,spsr nellore,108549115,1908036.45
andhra-pradesh,2024,1,prakasam,99550457,1874806.24
andhra-pradesh,2024,2,visakhapatnam,260339876,3784020.15
andhra-pradesh,2024,2,krishna,206843456,3351274.19
andhra-pradesh,2024,2,east godavari,197431466,3197874.53
andhra-pradesh,2024,2,chittoor,194201427,3076197.65
andhra-pradesh,2024,2,guntur,191134818,3140567.19
andhra-pradesh,2024,2,west godavari,143617131,2494932.85
andhra-pradesh,2024,2,anantapur,136536485,2257238.8
andhra-pradesh,2024,2,kurnool,127978397,2139908.09
andhra-pradesh,2024,2,spsr nellore,121146667,2084603.55
andhra-pradesh,2024,2,prakasam,112437837,2027313.7
arunachal-pradesh,2018,1,papum pare,14224,325.56
arunachal-pradesh,2018,1,west kameng,5787,95.41
arunachal-pradesh,2018,1,lohit,3747,114.97
arunachal-pradesh,2018,1,east siang,3286,55.34
arunachal-pradesh,2018,1,changlang,3195,53.81
arunachal-pradesh,2018,1,tawang,2334,50.56
arunachal-pradesh,2018,1,longding,2321,43.62
arunachal-pradesh,2018,1,west siang,1887,47.97
arunachal-pradesh,2018,1,lower subansiri,1477,36.51
arunachal-pradesh,2018,1,namsai,1400,21.63
arunachal-pradesh,2018,2,papum pare,25363,665.21
arunachal-pradesh,2018,2,west kameng,10466,255.21
