State,Year,Quarter,District,Count,Amount
andhra-pradesh,2021,3,east godavari district,39572714,893803.7
andhra-pradesh,2021,3,srikakulam district,15639768,348364.01
andhra-pradesh,2021,3,spsr nellore district,34411958,778396.77
andhra-pradesh,2021,3,vizianagaram district,14510005,313835.42
andhra-pradesh,2021,3,visakhapatnam district,69220981,1369456.52
andhra-pradesh,2021,3,prakasam district,24116580,633677.13
andhra-pradesh,2021,3,anantapur district,30366444,702912.48
andhra-pradesh,2021,3,ysr district,22439316,606835.58
andhra-pradesh,2021,3,west godavari district,26245039,666472.38
andhra-pradesh,2021,3,kurnool district,26377809,625274.54
andhra-pradesh,2021,3,chittoor district,42628568,893719.32
andhra-pradesh,2021,3,guntur district,41675093,965253.53
andhra-pradesh,2021,3,krishna district,44828275,1044178.98
andhra-pradesh,2021,4,east godavari district,48992531,1067255.97
andhra-pradesh,2021,4,srikakulam district,18501857,397136.58
andhra-pradesh,2021,4,spsr nellore district,41921081,922564.05
andhra-pradesh,2021,4,vizianagaram district,17253059,365775.29
andhra-pradesh,2021,4,visakhapatnam district,82711538,1595301.0
andhra-pradesh,2021,4,prakasam district,27858275,713230.6
andhra-pradesh,2021,4,anantapur district,36129136,812397.87
andhra-pradesh,2021,4,ysr district,26340348,690818.5
andhra-pradesh,2021,4,west godavari district,33235175,812924.62
andhra-pradesh,2021,4,kurnool district,31782248,739689.48
andhra-pradesh,2021,4,chittoor district,51119640,1039857.35
andhra-pradesh,2021,4,guntur district,50919286,1155539.94
andhra-pradesh,2021,4,krishna district,55489829,1250153.23
andhra-pradesh,2022,1,east godavari district,54738830,1210671.04
andhra-pradesh,2022,1,srikakulam district,20990782,468989.12
andhra-pradesh,2022,1,spsr nellore district,47645702,1048955.72
andhra-pradesh,2022,1,vizianagaram district,19278262,419948.53
andhra-pradesh,2022,1,visakhapatnam district,88233362,1701203.51
andhra-pradesh,2022,1,prakasam district,31340975,794943.73
andhra-pradesh,2022,1,anantapur district,40613148,901970.23
andhra-pradesh,2022,1,ysr district,29783739,784216.94
andhra-pradesh,2022,1,west godavari district,37271259,923979.4
andhra-pradesh,2022,1,kurnool district,35093633,815684.21
andhra-pradesh,2022,1,chittoor district,58561024,1179005.96
andhra-pradesh,2022,1,guntur district,57226996,1296737.28
andhra-pradesh,2022,1,krishna district,61826199,1396900.82
andhra-pradesh,2022,2,east godavari district,62072845,1355314.53
andhra-pradesh,2022,2,srikakulam district,23727353,537547.64
andhra-pradesh,2022,2,spsr nellore district,54838708,1219410.82
andhra-pradesh,2022,2,vizianagaram district,21766135,472947.45
andhra-pradesh,2022,2,visakhapatnam district,101387402,1932428.42
andhra-pradesh,2022,2,prakasam district,36163507,904350.83
andhra-pradesh,2022,2,anantapur district,46099366,1021387.58
andhra-pradesh,2022,2,ysr district,33154559,876013.1
andhra-pradesh,2022,2,west godavari district,44409239,1079732.45
andhra-pradesh,2022,2,kurnool district,40165692,924093.51
andhra-pradesh,2022,2,chittoor district,67507661,1364354.45
andhra-pradesh,2022,2,guntur district,66315749,1470981.42
andhra-pradesh,2022,2,krishna district,73525814,1639977.29
andhra-pradesh,2022,3,east godavari district,61467134,1296777.22
andhra-pradesh,2022,3,srikakulam district,22126541,468999.63
andhra-pradesh,2022,3,spsr nellore district,42116582,950993.26
andhra-pradesh,2022,3,vizianagaram district,20440645,425133.13
andhra-pradesh,2022,3,visakhapatnam district,97434546,1811244.2
andhra-pradesh,2022,3,prakasam district,35376080,874752.3
andhra-pradesh,2022,3,anantapur district,45165363,977356.5
andhra-pradesh,2022,3,ysr district,33119038,860169.32
andhra-pradesh,2022,3,west godavari district,43635951,1017068.55
andhra-pradesh,2022,3,kurnool district,39557913,884153.35
andhra-pradesh,2022,3,chittoor district,65751781,1330535.82
andhra-pradesh,2022,3,guntur district,65612317,1415885.23
andhra-pradesh,2022,3,krishna district,71051144,1537705.59
andhra-pradesh,2022,4,east godavari district,68016055,1365311.1
andhra-pradesh,2022,4,srikakulam district,23693779,477264.11
andhra-pradesh,2022,4,spsr nellore district,42582064,920859.16
andhra-pradesh,2022,4,vizianagaram district,22205190,444673.86
andhra-pradesh,2022,4,visakhapatnam district,103790055,1853061.5
andhra-pradesh,2022,4,prakasam district,37211077,881050.32
andhra-pradesh,2022,4,anantapur district,48299601,1015338.79
andhra-pradesh,2022,4,ysr district,35201596,873604.27
andhra-pradesh,2022,4,west godavari district,47919930,1053357.25
andhra-pradesh,2022,4,kurnool district,43524766,946674.41
andhra-pradesh,2022,4,chittoor district,70322534,1368408.6
andhra-pradesh,2022,4,guntur district,70723763,1469387.35
andhra-pradesh,2022,4,krishna district,76526667,1578260.11
andhra-pradesh,2023,1,east godavari district,115196449,2234547.25
andhra-pradesh,2023,1,srikakulam district,42209999,864860.32
andhra-pradesh,2023,1,spsr nellore district,71318689,1439671.65
andhra-pradesh,2023,1,vizianagaram district,38838861,764723.85
andhra-pradesh,2023,1,visakhapatnam district,164358781,2772110.9
andhra-pradesh,2023,1,prakasam district,63671149,1416728.4
andhra-pradesh,2023,1,anantapur district,82127373,1622877.97
andhra-pradesh,2023,1,ysr district,59768512,1401176.34
andhra-pradesh,2023,1,west godavari district,79094558,1659411.45
andhra-pradesh,2023,1,kurnool district,72405172,1491003.62
andhra-pradesh,2023,1,chittoor district,120192355,2180370.27
andhra-pradesh,2023,1,guntur district,114246185,2262442.26
andhra-pradesh,2023,1,krishna district,122104381,2380588.91
andhra-pradesh,2023,2,east godavari district,131243375,2451347.17
andhra-pradesh,2023,2,srikakulam district,47633204,930821.76
andhra-pradesh,2023,2,spsr nellore district,82056071,1651813.91
andhra-pradesh,2023,2,vizianagaram district,43625851,826710.2
andhra-pradesh,2023,2,visakhapatnam district,184918179,3038745.97
andhra-pradesh,2023,2,prakasam district,73598725,1584286.9
andhra-pradesh,2023,2,anantapur district,91695174,1800503.69
andhra-pradesh,2023,2,ysr district,66809788,1562319.15
andhra-pradesh,2023,2,west godavari district,92533269,1876995.26
andhra-pradesh,2023,2,kurnool district,81475907,1669919.9
andhra-pradesh,2023,2,chittoor district,136283483,2455505.26
andhra-pradesh,2023,2,guntur district,132035450,2541407.65
andhra-pradesh,2023,2,krishna district,141748488,2670014.04
andhra-pradesh,2023,3,east godavari district,148701666,2604142.86
andhra-pradesh,2023,3,srikakulam district,51382393,918182.03
andhra-pradesh,2023,3,spsr nellore district,93875073,1765937.51
andhra-pradesh,2023,3,vizianagaram district,47856766,832897.05
andhra-pradesh,2023,3,visakhapatnam district,209884966,3289272.21
andhra-pradesh,2023,3,prakasam district,84447202,1712072.99
andhra-pradesh,2023,3,anantapur district,104539628,1924774.41
andhra-pradesh,2023,3,ysr district,76091693,1682185.16
andhra-pradesh,2023,3,west godavari district,102962058,1918918.23
andhra-pradesh,2023,3,kurnool district,92890445,1729790.54
andhra-pradesh,2023,3,chittoor district,152863845,2654047.57
andhra-pradesh,2023,3,guntur district,150246761,2706518.18
andhra-pradesh,2023,3,krishna district,159421907,2795402.24
andhra-pradesh,2023,4,east godavari district,162793144,2823292.56
andhra-pradesh,2023,4,srikakulam district,56291337,970217.47
andhra-pradesh,2023,4,spsr nellore district,97721962,1793060.28
andhra-pradesh,2023,4,vizianagaram district,53248760,902895.03
andhra-pradesh,2023,4,visakhapatnam district,223584765,3445128.75
andhra-pradesh,2023,4,prakasam district,89721677,1749297.37
andhra-pradesh,2023,4,anantapur district,113698752,2033671.78
andhra-pradesh,2023,4,ysr district,83729195,1766448.97
andhra-pradesh,2023,4,west godavari district,114825704,2092378.93
andhra-pradesh,2023,4,kurnool district,103816175,1905975.28
andhra-pradesh,2023,4,chittoor district,163521593,2741324.58
andhra-pradesh,2023,4,guntur district,160724947,2818068.4
andhra-pradesh,2023,4,krishna district,173309415,2983390.39
andhra-pradesh,2024,1,east godavari district,179489444,3063243.09
andhra-pradesh,2024,1,srikakulam district,66267698,1186692.01
andhra-pradesh,2024,1,spsr nellore district,108549115,1908036.45
andhra-pradesh,2024,1,vizianagaram district,61170983,1056727.98
andhra-pradesh,2024,1,visakhapatnam district,238418938,3633415.74
andhra-pradesh,2024,1,prakasam district,99550457,1874806.24
andhra-pradesh,2024,1,anantapur district,125240418,2126816.89
andhra-pradesh,2024,1,ysr district,94211451,1902274.79
andhra-pradesh,2024,1,west godavari district,127602250,2287331.05
andhra-pradesh,2024,1,kurnool district,115036343,2048059.09
andhra-pradesh,2024,1,chittoor district,179903083,2896205.67
andhra-pradesh,2024,1,guntur district,173636233,2973712.77
andhra-pradesh,2024,1,krishna district,186352072,3169934.93
andhra-pradesh,2024,2,east godavari district,197431466,3197874.53
andhra-pradesh,2024,2,srikakulam district,70555405,1196681.62
