State,Year,Quarter,Brands,Count,Percentage
andaman-&-nicobar-islands,2021,2,Xiaomi,14788,24.0
andaman-&-nicobar-islands,2021,2,Samsung,11476,18.0
andaman-&-nicobar-islands,2021,2,Oppo,5456,9.0
andaman-&-nicobar-islands,2021,2,Realme,4034,6.0
andaman-&-nicobar-islands,2021,2,OnePlus,1981,3.0
andaman-&-nicobar-islands,2021,2,Huawei,1559,3.0
andaman-&-nicobar-islands,2021,2,Apple,1153,2.0
andaman-&-nicobar-islands,2021,2,Motorola,1054,2.0
andaman-&-nicobar-islands,2021,2,Tecno,974,2.0
andaman-&-nicobar-islands,2021,2,Others,4564,7.0
andaman-&-nicobar-islands,2021,3,Vivo,16411,25.0
andaman-&-nicobar-islands,2021,3,Xiaomi,15938,24.0
andaman-&-nicobar-islands,2021,3,Samsung,12028,18.0
andaman-&-nicobar-islands,2021,3,Oppo,5853,9.0
andaman-&-nicobar-islands,2021,3,Realme,4808,7.0
andaman-&-nicobar-islands,2021,3,OnePlus,2306,3.0
andaman-&-nicobar-islands,2021,3,Huawei,1567,2.0
andaman-&-nicobar-islands,2021,3,Apple,1283,2.0
andaman-&-nicobar-islands,2021,3,Tecno,1178,2.0
andaman-&-nicobar-islands,2021,3,Motorola,1017,2.0
andaman-&-nicobar-islands,2021,3,Others,4593,7.0
andaman-&-nicobar-islands,2021,4,Vivo,17597,25.0
andaman-&-nicobar-islands,2021,4,Xiaomi,16968,24.0
andaman-&-nicobar-islands,2021,4,Samsung,12574,18.0
andaman-&-nicobar-islands,2021,4,Oppo,6127,9.0
andaman-&-nicobar-islands,2021,4,Realme,5830,8.0
andaman-&-nicobar-islands,2021,4,OnePlus,2691,4.0
andaman-&-nicobar-islands,2021,4,Apple,1490,2.0
andaman-&-nicobar-islands,2021,4,Huawei,1459,2.0
andaman-&-nicobar-islands,2021,4,Tecno,1417,2.0
andaman-&-nicobar-islands,2021,4,Motorola,1055,1.0
andaman-&-nicobar-islands,2021,4,Others,4572,6.0
andaman-&-nicobar-islands,2022,1,Vivo,18688,24.0
andaman-&-nicobar-islands,2022,1,Xiaomi,17957,24.0
andaman-&-nicobar-islands,2022,1,Samsung,12955,17.0
andaman-&-nicobar-islands,2022,1,Realme,6769,9.0
andaman-&-nicobar-islands,2022,1,Oppo,6461,8.0
andaman-&-nicobar-islands,2022,1,OnePlus,3005,4.0
andaman-&-nicobar-islands,2022,1,Tecno,1770,2.0
andaman-&-nicobar-islands,2022,1,Apple,1634,2.0
andaman-&-nicobar-islands,2022,1,Huawei,1441,2.0
andaman-&-nicobar-islands,2022,1,Motorola,1050,1.0
andaman-&-nicobar-islands,2022,1,Others,4558,6.0
andhra-pradesh,2018,1,Xiaomi,836581,25.0
andhra-pradesh,2018,1,Samsung,683687,20.0
andhra-pradesh,2018,1,Vivo,425959,13.0
andhra-pradesh,2018,1,Oppo,304487,9.0
andhra-pradesh,2018,1,Realme,236646,7.0
andhra-pradesh,2018,1,Motorola,129739,4.0
andhra-pradesh,2018,1,OnePlus,129421,4.0
andhra-pradesh,2018,1,Apple,123274,4.0
andhra-pradesh,2018,1,Lenovo,84138,3.0
andhra-pradesh,2018,1,Huawei,76654,2.0
andhra-pradesh,2018,1,Others,305864,9.0
andhra-pradesh,2018,2,Xiaomi,1113800,25.0
andhra-pradesh,2018,2,Samsung,903290,21.0
andhra-pradesh,2018,2,Vivo,586965,13.0
andhra-pradesh,2018,2,Oppo,410549,9.0
andhra-pradesh,2018,2,Realme,305964,7.0
andhra-pradesh,2018,2,Motorola,169847,4.0
andhra-pradesh,2018,2,OnePlus,155418,4.0
andhra-pradesh,2018,2,Apple,151847,3.0
andhra-pradesh,2018,2,Lenovo,107441,2.0
andhra-pradesh,2018,2,Huawei,102929,2.0
andhra-pradesh,2018,2,Others,394490,9.0
andhra-pradesh,2018,3,Xiaomi,1385112,26.0
andhra-pradesh,2018,3,Samsung,1103186,20.0
andhra-pradesh,2018,3,Vivo,761793,14.0
andhra-pradesh,2018,3,Oppo,518120,10.0
andhra-pradesh,2018,3,Realme,379712,7.0
andhra-pradesh,2018,3,Motorola,203756,4.0
andhra-pradesh,2018,3,OnePlus,181364,3.0
andhra-pradesh,2018,3,Apple,175343,3.0
andhra-pradesh,2018,3,Huawei,134429,2.0
andhra-pradesh,2018,3,Lenovo,122489,2.0
andhra-pradesh,2018,3,Others,462313,9.0
andhra-pradesh,2018,4,Xiaomi,1753802,26.0
andhra-pradesh,2018,4,Samsung,1388061,20.0
andhra-pradesh,2018,4,Vivo,1011185,15.0
andhra-pradesh,2018,4,Oppo,675093,10.0
andhra-pradesh,2018,4,Realme,476746,7.0
andhra-pradesh,2018,4,Motorola,250601,4.0
andhra-pradesh,2018,4,OnePlus,210161,3.0
andhra-pradesh,2018,4,Apple,209737,3.0
andhra-pradesh,2018,4,Huawei,176237,3.0
andhra-pradesh,2018,4,Lenovo,149583,2.0
andhra-pradesh,2018,4,Others,556203,8.0
andhra-pradesh,2019,1,Xiaomi,2110547,25.0
andhra-pradesh,2019,1,Samsung,1688342,20.0
andhra-pradesh,2019,1,Vivo,1262871,15.0
andhra-pradesh,2019,1,Oppo,835541,10.0
andhra-pradesh,2019,1,Realme,564832,7.0
andhra-pradesh,2019,1,Motorola,291830,4.0
andhra-pradesh,2019,1,Apple,241108,3.0
andhra-pradesh,2019,1,OnePlus,237269,3.0
andhra-pradesh,2019,1,Huawei,220082,3.0
andhra-pradesh,2019,1,Lenovo,171471,2.0
andhra-pradesh,2019,1,Others,659126,8.0
andhra-pradesh,2019,2,Xiaomi,2389374,25.0
andhra-pradesh,2019,2,Samsung,1914378,20.0
andhra-pradesh,2019,2,Vivo,1466695,16.0
andhra-pradesh,2019,2,Oppo,963352,10.0
andhra-pradesh,2019,2,Realme,641519,7.0
andhra-pradesh,2019,2,Motorola,324778,3.0
andhra-pradesh,2019,2,Apple,264860,3.0
andhra-pradesh,2019,2,OnePlus,254273,3.0
andhra-pradesh,2019,2,Huawei,250859,3.0
andhra-pradesh,2019,2,Lenovo,189151,2.0
andhra-pradesh,2019,2,Others,729764,8.0
andhra-pradesh,2019,3,Xiaomi,2656468,25.0
andhra-pradesh,2019,3,Samsung,2123659,20.0
andhra-pradesh,2019,3,Vivo,1674109,16.0
andhra-pradesh,2019,3,Oppo,1087660,10.0
andhra-pradesh,2019,3,Realme,727964,7.0
andhra-pradesh,2019,3,Motorola,348910,3.0
andhra-pradesh,2019,3,Apple,286412,3.0
andhra-pradesh,2019,3,Huawei,282587,3.0
andhra-pradesh,2019,3,OnePlus,271100,3.0
andhra-pradesh,2019,3,Lenovo,194180,2.0
andhra-pradesh,2019,3,Others,805644,8.0
andhra-pradesh,2019,4,Xiaomi,2985953,25.0
andhra-pradesh,2019,4,Samsung,2379139,20.0
andhra-pradesh,2019,4,Vivo,1922141,16.0
andhra-pradesh,2019,4,Oppo,1241235,11.0
andhra-pradesh,2019,4,Realme,844668,7.0
andhra-pradesh,2019,4,Motorola,381692,3.0
andhra-pradesh,2019,4,Huawei,317290,3.0
andhra-pradesh,2019,4,Apple,308354,3.0
andhra-pradesh,2019,4,OnePlus,286412,2.0
andhra-pradesh,2019,4,Lenovo,208785,2.0
andhra-pradesh,2019,4,Others,882214,8.0
andhra-pradesh,2020,1,Xiaomi,3307542,25.0
andhra-pradesh,2020,1,Samsung,2622762,20.0
andhra-pradesh,2020,1,Vivo,2165012,17.0
andhra-pradesh,2020,1,Oppo,1387060,11.0
andhra-pradesh,2020,1,Realme,960418,7.0
andhra-pradesh,2020,1,Motorola,411062,3.0
andhra-pradesh,2020,1,Huawei,348324,3.0
andhra-pradesh,2020,1,Apple,329329,3.0
andhra-pradesh,2020,1,OnePlus,298911,2.0
andhra-pradesh,2020,1,Lenovo,227154,2.0
andhra-pradesh,2020,1,Others,964486,7.0
andhra-pradesh,2020,2,Xiaomi,3635594,25.0
andhra-pradesh,2020,2,Samsung,2888149,20.0
andhra-pradesh,2020,2,Vivo,2409399,17.0
andhra-pradesh,2020,2,Oppo,1535129,11.0
andhra-pradesh,2020,2,Realme,1072165,7.0
andhra-pradesh,2020,2,Motorola,445380,3.0
