State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2021,4,744211,27938,942.23
andaman-&-nicobar-islands,2021,4,744104,25662,692.45
andaman-&-nicobar-islands,2021,4,744202,21913,677.91
andaman-&-nicobar-islands,2021,4,744107,21397,520.36
andaman-&-nicobar-islands,2021,4,744112,18915,554.49
andaman-&-nicobar-islands,2021,4,744301,14553,477.92
andaman-&-nicobar-islands,2022,1,744101,209941,6159.78
andaman-&-nicobar-islands,2022,1,744103,157230,3997.16
andaman-&-nicobar-islands,2022,1,744105,122716,3218.51
andaman-&-nicobar-islands,2022,1,744102,74883,1933.37
andaman-&-nicobar-islands,2022,1,744104,32471,729.16
andaman-&-nicobar-islands,2022,1,744211,30272,869.56
andaman-&-nicobar-islands,2022,1,744107,25379,587.77
andaman-&-nicobar-islands,2022,1,744202,24022,685.19
andaman-&-nicobar-islands,2022,1,744112,23471,554.7
andaman-&-nicobar-islands,2022,1,744301,17630,568.8
andaman-&-nicobar-islands,2022,2,744101,252722,7021.22
andaman-&-nicobar-islands,2022,2,744103,230746,5611.69
andaman-&-nicobar-islands,2022,2,744105,176252,4157.97
andaman-&-nicobar-islands,2022,2,744102,101551,2404.52
andaman-&-nicobar-islands,2022,2,744104,47069,943.35
andaman-&-nicobar-islands,2022,2,744211,40245,1087.89
andaman-&-nicobar-islands,2022,2,744107,36402,828.51
andaman-&-nicobar-islands,2022,2,744112,32548,701.78
andaman-&-nicobar-islands,2022,2,744202,27750,845.88
andaman-&-nicobar-islands,2022,2,744301,26170,744.85
andaman-&-nicobar-islands,2022,3,744104,497273,9513.7
andaman-&-nicobar-islands,2022,3,744103,259994,5456.54
andaman-&-nicobar-islands,2022,3,744101,213864,4449.67
andaman-&-nicobar-islands,2022,3,744105,208055,4387.55
andaman-&-nicobar-islands,2022,3,744102,114416,2395.82
andaman-&-nicobar-islands,2022,3,744107,40466,854.92
andaman-&-nicobar-islands,2022,3,744112,38350,740.31
andaman-&-nicobar-islands,2022,3,744211,37918,896.71
andaman-&-nicobar-islands,2022,3,744202,29918,855.09
andaman-&-nicobar-islands,2022,3,744301,27668,700.03
andaman-&-nicobar-islands,2022,4,744104,684366,13094.08
andaman-&-nicobar-islands,2022,4,744103,304600,6129.29
andaman-&-nicobar-islands,2022,4,744105,258097,5056.63
andaman-&-nicobar-islands,2022,4,744101,243494,4671.92
andaman-&-nicobar-islands,2022,4,744102,134923,2643.72
andaman-&-nicobar-islands,2022,4,744211,56491,1372.53
andaman-&-nicobar-islands,2022,4,744107,54192,1045.4
andaman-&-nicobar-islands,2022,4,744112,46364,824.62
andaman-&-nicobar-islands,2022,4,744202,34689,942.17
andaman-&-nicobar-islands,2022,4,744301,33669,824.67
andaman-&-nicobar-islands,2023,1,744103,503053,9695.95
andaman-&-nicobar-islands,2023,1,744105,418090,7745.71
andaman-&-nicobar-islands,2023,1,744101,403456,7495.08
andaman-&-nicobar-islands,2023,1,744102,222855,4272.41
andaman-&-nicobar-islands,2023,1,744104,118286,2015.31
andaman-&-nicobar-islands,2023,1,744211,107424,2638.86
andaman-&-nicobar-islands,2023,1,744107,92715,1680.99
andaman-&-nicobar-islands,2023,1,744112,76246,1315.99
andaman-&-nicobar-islands,2023,1,744202,59440,1659.6
andaman-&-nicobar-islands,2023,1,744301,55605,1117.14
andaman-&-nicobar-islands,2023,2,744103,597774,11192.74
andaman-&-nicobar-islands,2023,2,744105,507585,9162.1
andaman-&-nicobar-islands,2023,2,744101,486154,8248.57
andaman-&-nicobar-islands,2023,2,744102,269165,4589.77
andaman-&-nicobar-islands,2023,2,744104,134785,2052.44
andaman-&-nicobar-islands,2023,2,744107,114795,1949.87
andaman-&-nicobar-islands,2023,2,744211,106510,2225.1
andaman-&-nicobar-islands,2023,2,744112,89784,1475.71
andaman-&-nicobar-islands,2023,2,744202,72315,2113.02
andaman-&-nicobar-islands,2023,2,744301,63841,1341.98
andaman-&-nicobar-islands,2023,3,744103,697625,11589.92
andaman-&-nicobar-islands,2023,3,744105,594280,9628.25
andaman-&-nicobar-islands,2023,3,744101,561910,8802.23
andaman-&-nicobar-islands,2023,3,744102,301979,5005.13
andaman-&-nicobar-islands,2023,3,744104,144283,2014.67
andaman-&-nicobar-islands,2023,3,744107,126430,1922.72
andaman-&-nicobar-islands,2023,3,744211,122188,2057.74
andaman-&-nicobar-islands,2023,3,744112,102093,1426.1
andaman-&-nicobar-islands,2023,3,744202,81233,2296.52
andaman-&-nicobar-islands,2023,3,744301,72307,1427.58
andaman-&-nicobar-islands,2023,4,744103,817988,13760.84
andaman-&-nicobar-islands,2023,4,744105,687868,11113.27
andaman-&-nicobar-islands,2023,4,744101,665217,10306.39
andaman-&-nicobar-islands,2023,4,744102,343773,5505.18
andaman-&-nicobar-islands,2023,4,744211,208914,4342.54
andaman-&-nicobar-islands,2023,4,744104,180753,2766.52
andaman-&-nicobar-islands,2023,4,744107,150575,2152.38
andaman-&-nicobar-islands,2023,4,744112,121589,1784.99
andaman-&-nicobar-islands,2023,4,744301,92294,1972.79
andaman-&-nicobar-islands,2023,4,744202,91113,2334.94
andaman-&-nicobar-islands,2024,1,744103,915265,14661.85
andaman-&-nicobar-islands,2024,1,744105,788690,12381.77
andaman-&-nicobar-islands,2024,1,744101,729163,11119.39
andaman-&-nicobar-islands,2024,1,744102,410733,6355.69
andaman-&-nicobar-islands,2024,1,744211,242702,5028.56
andaman-&-nicobar-islands,2024,1,744104,198252,2870.98
andaman-&-nicobar-islands,2024,1,744107,175286,2385.43
andaman-&-nicobar-islands,2024,1,744112,136050,1989.31
andaman-&-nicobar-islands,2024,1,744202,110787,2745.97
andaman-&-nicobar-islands,2024,1,744301,96150,1823.52
andaman-&-nicobar-islands,2024,2,744103,1017612,15789.26
andaman-&-nicobar-islands,2024,2,744105,893820,13744.46
andaman-&-nicobar-islands,2024,2,744101,811341,11582.96
andaman-&-nicobar-islands,2024,2,744102,457481,6907.86
andaman-&-nicobar-islands,2024,2,744211,224583,4113.21
andaman-&-nicobar-islands,2024,2,744107,215143,2791.84
andaman-&-nicobar-islands,2024,2,744104,203691,2884.8
andaman-&-nicobar-islands,2024,2,744112,149015,2127.5
andaman-&-nicobar-islands,2024,2,744202,133606,3096.41
andaman-&-nicobar-islands,2024,2,744301,103555,1921.16
andhra-pradesh,2018,1,517501,110496,1634.87
andhra-pradesh,2018,1,520001,96883,1706.06
andhra-pradesh,2018,1,515001,92754,1335.22
andhra-pradesh,2018,1,517507,88132,1274.5
andhra-pradesh,2018,1,516001,84644,1311.94
andhra-pradesh,2018,1,518502,82421,680.4
andhra-pradesh,2018,1,530016,81891,1408.81
andhra-pradesh,2018,1,520010,69581,1190.1
andhra-pradesh,2018,1,516360,68340,1016.12
andhra-pradesh,2018,1,518501,68193,810.07
andhra-pradesh,2018,2,517501,165506,3056.29
andhra-pradesh,2018,2,518502,140893,1278.14
andhra-pradesh,2018,2,515001,129798,2859.25
andhra-pradesh,2018,2,517507,127731,2434.05
andhra-pradesh,2018,2,520001,123176,2719.12
andhra-pradesh,2018,2,516001,114806,2421.75
andhra-pradesh,2018,2,530016,111874,2357.7
andhra-pradesh,2018,2,520010,100630,2207.3
andhra-pradesh,2018,2,516360,96619,1970.69
andhra-pradesh,2018,2,518501,93442,1639.43
andhra-pradesh,2018,3,518502,1300146,7097.66
andhra-pradesh,2018,3,533437,421968,2407.66
andhra-pradesh,2018,3,518501,296154,2912.48
andhra-pradesh,2018,3,517501,295403,4661.34
andhra-pradesh,2018,3,515001,276595,4381.58
andhra-pradesh,2018,3,530016,234494,3804.1
andhra-pradesh,2018,3,517507,233347,3865.64
andhra-pradesh,2018,3,516259,220165,1098.44
andhra-pradesh,2018,3,520011,213275,2918.06
andhra-pradesh,2018,3,520001,206435,3711.4
andhra-pradesh,2018,4,518502,441662,3322.01
andhra-pradesh,2018,4,517501,423357,7148.88
andhra-pradesh,2018,4,530016,367619,5759.82
andhra-pradesh,2018,4,515001,355695,6519.53
andhra-pradesh,2018,4,517507,318300,5947.48
andhra-pradesh,2018,4,530003,277131,3560.76
andhra-pradesh,2018,4,516001,269798,5722.52
andhra-pradesh,2018,4,520010,250261,4922.3
andhra-pradesh,2018,4,530017,248725,3268.91
andhra-pradesh,2018,4,518501,248520,3574.23
andhra-pradesh,2019,1,530001,950821,15290.39
andhra-pradesh,2019,1,517501,922416,12447.25
andhra-pradesh,2019,1,520001,814616,14628.07
andhra-pradesh,2019,1,530016,684611,9600.22
andhra-pradesh,2019,1,517507,671661,10091.29
andhra-pradesh,2019,1,515001,609682,10099.38
andhra-pradesh,2019,1,518502,545426,3897.83
andhra-pradesh,2019,1,530003,527667,5908.0
andhra-pradesh,2019,1,530017,472914,5315.96
andhra-pradesh,2019,1,520010,460133,7749.31
